air_date,round,category,value,question,answer
3/29/90,Final Jeopardy!,COLLEGES & UNIVERSITIES,,The only state that's home to 2 Ivy League schools,"New York (Columbia, in NYC & Cornell, in Ithaca)"
7/18/06,Final Jeopardy!,LITERARY CHARACTERS,,"Last name of Sir Clifford, whose crippling war injuries make life difficult for his wife",Chatterley
11/23/01,Final Jeopardy!,ANCIENT ROMANS,,"According to tradition, he was descended from the clan of the Pontii & killed himself in 39 A.D.",Pontius Pilate
4/21/03,Final Jeopardy!,SCIENTIFIC INSTRUMENTS,,"French physicist Leon Foucault gave it its name, which is from the Greek for ""to view the rotation""",gyroscope
2/26/09,Final Jeopardy!,18th CENTURY SCIENTISTS,,"This N. European said his grave-stone should be inscribed Princeps botanicorum, ""prince of botanists""",Carolus Linnaeus
12/5/00,Final Jeopardy!,AMERICAN DRAMA,,The entire action of this Eugene O'Neill play takes place in 1850 at a New England farmhouse flanked by massive trees,"\""Desire Under The Elms\"""
12/18/07,Final Jeopardy!,THE 1970s,,"For an historic February 1972 trip, Richard Nixon & Henry Kissinger each learned to use these; Nixon was better at it",chopsticks
1/29/08,Final Jeopardy!,PUBLISHING,,"Founded in 1856, this company introduced a numbering system for U.S. highways in 1917",Rand McNally
4/16/04,Final Jeopardy!,AMERICAN ENTERTAINERS,,"""Evita""'s ""Don't Cry for Me Argentina"" was inspired by a 1969 concert of hers in London; she left the stage after 15 minutes",Judy Garland
2/16/05,Final Jeopardy!,SINGERS,,"This man who often criticized the government was named for the president elected in 1912, his birth year","Woodrow Wilson \""Woody\"" Guthrie"
5/19/99,Final Jeopardy!,INTERNATIONAL SPORTS,,"Jan Ullrich, the only German ever to win this event, has been nicknamed ""Der Tourminator""",the Tour de France
1/10/06,Final Jeopardy!,THE U.S. MILITARY,,"Established in 1903, the oldest U.S. military base in continuous use outside of the U.S. is in this country",Cuba
5/1/06,Final Jeopardy!,THEATRE 2005,,The conduct of a priest arouses suspicion in this play that won the 2005 Pulitzer Prize for Drama,Doubt (by John Patrick Shanley)
9/19/01,Final Jeopardy!,EUROPEAN PRINCESSES,,"On July 20, 1999 she gave birth to her fourth child, Princess Alexandra of Hanover",Princess Caroline of Monaco
11/4/99,Final Jeopardy!,PUBLICATIONS,,"This humor publication, known for its website, put out its first book in 1999, a No. 1 bestseller",The Onion
2/18/10,Final Jeopardy!,ENTREPRENEURS,,"When he passed away in December 1980, flags in Kentucky flew at half-staff for 4 days",Colonel Sanders
2/2/98,Final Jeopardy!,LEGAL EAGLES,,"In 1931 he narrated ""The Mystery of Life"", a full-length film about evolution",Clarence Darrow
4/19/10,Final Jeopardy!,WORLD WAR II,,"On June 5, 1944 FDR said of the capture of this city, ""One up and two to go""",Rome
12/27/00,Final Jeopardy!,THE CIVIL WAR,,For his service in the Civil War Congress made him General in Chief of the Armies,Ulysses S. Grant
7/22/09,Final Jeopardy!,19th CENTURY PRESIDENTS,,"His letter accepting his nomination concluded, ""Let us have peace"", which became the GOP campaign slogan",Ulysses Grant
7/9/93,Final Jeopardy!,ACTRESSES & THEIR ROLES,,In 1992 Angela Bassett played the Jacksons' mother on TV & Betty Shabazz in this film,Malcolm X
3/14/01,Final Jeopardy!,FAMOUS FILMS,,He made the first home movie to be named to the Library of Congress' National Film Registry,Abraham Zapruder (the film of the Kennedy Assassination)
10/9/01,Final Jeopardy!,WOMEN AUTHORS,,"In 1935 she sent a telegram to a Macmillan editor: ""Please send manuscript back I've changed my mind""","Margaret Mitchell (\""Gone with the Wind\"")"
12/26/05,Final Jeopardy!,COMPOSERS,,He moved to Vienna in 1766; in 1778 he presented his native Italy with the first opera staged at La Scala,Antonio Salieri
5/16/08,Final Jeopardy!,ALLIANCES,,The Quadruple Alliance began in 1813 against this country; in 1818 it let this country in & became the Quintuple Alliance,France
5/10/99,Final Jeopardy!,EUROPEAN GOVERNMENT,,"In October 1998 this country got its 56th govt. since WWII, with its first Communist cabinet ministers in 50 years",Italy
10/25/05,Final Jeopardy!,YOUTH ORGANIZATIONS,,"This organization pledges it will strive for ""clearer thinking... greater loyalty... larger service, and... better living"" in that order",4H
6/16/09,Final Jeopardy!,HISTORICAL POEMS,,"Poem that tells us: ""Cossack and Russian reel'd from the sabre-stroke shatter'd and sunder'd""","\""The Charge of the Light Brigade\"""
10/4/96,Final Jeopardy!,15th CENTURY MEN,,"In 1482 he told the Duke of Milan that he could ""make armored wagons to carry artillery""",Leonardo da Vinci
11/24/11,Final Jeopardy!,PSYCHOLOGY TERMS,,This 2-word term has its origins in a hostage-taking that followed the botched 1973 Norrmalmstorg bank robbery,Stockholm Syndrome
2/4/04,Final Jeopardy!,TV PERSONALITIES,,"In 1994 his alma mater, Sam Houston State University, named its journalism & communications building in his honor",Dan Rather
7/20/11,Final Jeopardy!,SPORTS MOVIES,,Their team colors were yellow & white & they were originally sponsored by Chico's Bail Bonds,The Bad News Bears
2/2/96,Final Jeopardy!,CONGRESS,,"On Nov. 23, 1973 Yvonne Braithwaite Burke became the first member of Congress to do this while in office",Give Birth
1/21/97,Final Jeopardy!,WORD ORIGINS,,"From the Latin for ""year"" & ""turn"", it's literally ""The turn of a year""",Anniversary (annus - year & verso - turn)
6/24/04,Final Jeopardy!,FILMS OF THE '70s,,"This 1973 thriller was re-released in 2000 with extra footage, including a scene in which Ritalin is prescribed",The Exorcist
9/30/10,Final Jeopardy!,ALLITERATIVE ATHLETES,,In 1998 these 2 baseball rivals shared top honors as Sports Illustrated's Sportsmen of the Year,Sammy Sosa and Mark McGwire
1/12/01,Final Jeopardy!,TELEVISION,,"An allusion to ""Arabian Nights"", the title of this show suggests a magic door to knowledge",Sesame Street
1/21/00,Final Jeopardy!,MOVIE SOUNDTRACKS,,"""You Can Leave Your Hat On"" & ""The Stripper"" are on the soundtrack of this 1997 Oscar-nominated movie",The Full Monty
3/24/04,Final Jeopardy!,WORD & PHRASE ORIGINS,,This term was first used in an ice cream trade journal in 1937; it began to appear in the nuclear power industry in the '60s,meltdown
1/9/01,Final Jeopardy!,FLAGS,,"On February 15, 1965 this country raised its new national flag for the first time on Parliament Hill",Canada
12/23/08,Final Jeopardy!,PEOPLES OF THE WORLD,,"Numbering about 25 million, they're the largest ethnic group in the world with no home nation",the Kurds
12/25/08,Final Jeopardy!,THE GRAMMYS,,In 1959 the first Grammy for album of the year went to the soundtrack composed by Henry Mancini for this TV show,Peter Gunn
2/5/97,Final Jeopardy!,RULERS,,"In 44 B.C. he was made dictator for life, a post abolished after he died the same year",Julius Caesar
11/2/07,Final Jeopardy!,POETS,,"One of her poems says, ""I was ten when they buried you.  At twenty I tried to die and get back, back, back to you""",Sylvia Plath
4/14/04,Final Jeopardy!,BIBLICAL JOURNEYS,,2 names: A man journeying & his country of destination in both Genesis 39 & Matthew 2,Joseph and Egypt
4/9/08,Final Jeopardy!,1950s FICTION,,"Later translated into Russian by the author, it was dubbed both one of the best books of 1955 & one of the filthiest",Lolita
1/6/11,Final Jeopardy!,WORLDWIDE MEDIA,,"The name for this news agency means ""peninsula"", referring to the Arabian peninsula",Al Jazeera
5/18/92,Final Jeopardy!,U.S PRESIDENTS,,"A native Kentuckian, he was the first president born outside of the original 13 states",Abraham Lincoln
6/23/08,Final Jeopardy!,PRESIDENTIAL BIRTHPLACES,,4 U.S. presidents serving in 3 different centuries have been born in the same county in this state,Massachusetts
7/2/08,Final Jeopardy!,AFI's TOP 100 MOVIE QUOTES,,"This quote, No. 31 on the list, comes 2 minutes after the No. 1 quote, & is the last line of its movie","After all, tomorrow is another day!"
1/11/96,Final Jeopardy!,GEOGRAPHY,,It's Europe's second-largest island,Iceland
6/6/02,Final Jeopardy!,COMMON BONDS,,"All the correct responses in the category ""THIS'LL KILL YA!"" are integral to this, introduced in the 1940s",Clue
11/5/90,Final Jeopardy!,U.S. CITIES,,The name of this Iowa city commemorates the powwow Lewis & Clark held with area Indians in 1804,Council Bluffs
7/7/98,Final Jeopardy!,PRESIDENTIAL ELECTIONS,,He's the only GOP presidential nominee to lose 2 presidential elections,Thomas E. Dewey (1944 & 1948)
7/27/10,Final Jeopardy!,MONARCHIES,,1 of the 2 largely German-speaking monarchies in the world; they're about 250 miles apart,(1 of) Liechtenstein & Luxembourg
12/7/01,Final Jeopardy!,COUNTRIES OF THE WORLD,,This independent nation is the only Hindu kingdom in the world,Nepal
9/24/04,Final Jeopardy!,CHILDREN'S AUTHORS,,"After WWI he wrote, ""To develop a horse-surgery��_ would necessitate a knowledge of horse language""",Hugh Lofting (author of the Doctor Doolittle books)
11/29/10,Final Jeopardy!,THE CIVIL WAR,,These 2 cities in the Southeast & Southwest were the only 2 Confederate state capitals not captured by Union forces,Tallahassee & Austin
7/11/03,Final Jeopardy!,FICTIONAL PLACES,,"Wilton, Connecticut, a quiet, affluent town near New York City, was the basis for this title town in a 1972 novel",Stepford
3/22/96,Final Jeopardy!,CHILDREN'S THEATRE,,"1904 British play that includes the line ""To die will be an awfully big adventure""",Peter Pan
10/17/01,Final Jeopardy!,MUSIC & THE MOVIES,,The soundtrack of this 1992 film is the bestselling movie soundtrack of the 1990s,The Bodyguard
1/13/99,Final Jeopardy!,THE HUMAN BODY,,"It's the body part where you'll find the Mount of Apollo, the Mount of the Moon & the Girdle of Venus",(The palm of) The Hand
10/4/06,Final Jeopardy!,THE SPACE SHUTTLE,,2 of the 3 states where astronauts have landed the space shuttle,"(2 of) Florida, California, New Mexico"
6/25/08,Final Jeopardy!,THE HEISMAN TROPHY,,One of the 2 Heisman Trophy winners who share their surnames with U.S. presidents,(One of) Reggie Bush or Bo Jackson
5/21/09,Final Jeopardy!,BIG BOOKS,,"When they began in 1879, the creators of this thought they'd finish in 10 years; 5 years later, they reached ""ant""",the Oxford English Dictionary
3/8/07,Final Jeopardy!,GOING TO THE DOGS,,Their name comes from their being bred to crouch in front of prey that the hunter then captured with a net,setters
7/4/06,Final Jeopardy!,THE 20th CENTURY,,"On October 16, 1964 at Lop Nor this nation detonated its first nuclear device",China
4/25/01,Final Jeopardy!,MATERIALS,,The name of the sheet seen here is derived from the name of this material,Celluloid
6/3/08,Final Jeopardy!,BUSINESS,,In 1951 this company whose origins date back to 1876 became the first U.S. company to have 1 million stockholders,AT&T
4/24/06,Final Jeopardy!,ROCKS & MINERALS,,"Mines near Ticonderoga, New York were once the USA's principal source for this 8-letter mineral",graphite
10/7/05,Final Jeopardy!,THE KING JAMES BIBLE,,A Gospel & a book of the Old Testament each start with these same 3 words,In the beginning
11/8/04,Final Jeopardy!,COMPANY ORIGINS,,This Fortune 100 company got its name from what it bought from sailors & sold to natural history collectors,Shell Oil
4/23/07,Final Jeopardy!,EUROPEAN HISTORY,,"So Prussia could dominate Germany, Bismarck excluded this country that lost the 1866 Battle of Koniggratz",Austria
3/8/11,Final Jeopardy!,AMERICAN LITERATURE,,"""The Scarlet Letter"" says, ""to forbid the culprit to hide his face... was the essence of"" this 7-letter punishment",the pillory
4/14/10,Final Jeopardy!,POLITICALLY CORRECT POP CULTURE,,"The violence goes on, but in 2006 Time Warner TV removed depictions of this activity from old ""Tom and Jerry"" cartoons",smoking
11/27/97,Final Jeopardy!,20th CENTURY HISTORY,,"The NKVD, which liquidated its own first 2 chiefs in the 1930s, developed into this group in 1954",the KGB
10/8/97,Final Jeopardy!,SILENT MOVIES,,A special 1996 comic book put Superman in the world of this classic 1926 German film,Metropolis
11/10/05,Final Jeopardy!,BILLBOARD MAGAZINE,,"Launched in 2004, Billboard's first Top 20 chart for these included ""My Boo"", the ""Halloween"" theme & ""Ice Ice Baby""",ringtones
3/5/99,Final Jeopardy!,AUTHORS,,"In June 1998 a museum dedicated to this author opened in Salinas, California",John Steinbeck
9/22/10,Final Jeopardy!,THE BRITISH ISLES,,"Britain's oldest known scrap of material called this, sometimes identified as shepherd's plaid, dates from 250 A.D.",tartan
11/26/10,Final Jeopardy!,MUSICAL THEATER,,The basis of this show that won a Best Musical Tony & a Pulitzer was a collection of stories that won the Pulitzer in 1948,South Pacific
3/2/98,Final Jeopardy!,TV SITCOMS,,"For your information, this series that premiered in 1988 is TV's longest-running sitcom still on the air",Murphy Brown
1/8/07,Final Jeopardy!,HISTORIC AMERICANS,,"General Winfield Scott called him ""the very best soldier I ever saw in the field""",Robert E. Lee
2/3/10,Final Jeopardy!,OLYMPIC VENUES,,"At above 7,000 feet, this western hemisphere city had the highest altitude ever of a Summer Olympics host city",Mexico City
10/28/11,Final Jeopardy!,INVENTORS,,"In 1823 this Scot obtained a patent for a process that made silk, paper & ""other substances impervious to water and air""",(Charles) Macintosh
6/4/01,Final Jeopardy!,U.S. MILITARY MATTERS,,In 1933 what was known as The Militia Bureau was officially renamed this,The National Guard
12/13/10,Final Jeopardy!,COUNTRIES,,In only 2 cases can you add 2 letters to one country & get another country: Austria/Australia & this pair,Niger/Nigeria
12/20/04,Final Jeopardy!,THE ACADEMY AWARDS,,Last names of the 2 famous families in which 3 generations have won Oscars,Huston and Coppola
9/20/07,Final Jeopardy!,CHAMPIONSHIP SPORTS,,In 2007 this university became the 1st to hold national titles in both football & basketball in the same year,the University of Florida
1/13/03,Final Jeopardy!,NUTRITION,,"By virtue of the great quantity eaten, this vegetable is the leading source of vitamin C in the American diet",potato
7/7/97,Final Jeopardy!,SOUTH AMERICA,,Henck Arron was prime minister of this country when it gained its independence in 1975,Suriname (formerly Dutch Guyana)
11/8/89,Final Jeopardy!,THE OSCARS,,Only Pulitzer Prize-winning novels to become Oscar-winning ���Best Pictures�۝ are ���All The King's Men�۝ & this one,Gone with the Wind
4/24/97,Final Jeopardy!,SPORTS,,"Last awarded in 1970, the Jules Rimet Cup was replaced by this trophy in 1974",The World Cup (of soccer)
3/18/99,Final Jeopardy!,PRESIDENTIAL BIRTHPLACES,,20th century president whose birthplace is depicted here,Herbert Hoover
10/6/99,Final Jeopardy!,ON THE MONEY,,"Of the 7 men pictured on the front of currently printed U.S. currency, the 3 who never lived in the White House","Benjamin Franklin, Alexander Hamilton & George Washington"
12/27/11,Final Jeopardy!,PRESIDENTIAL INAUGURATIONS,,His second inauguration marked the first time that women officially participated in the inaugural parade,Woodrow Wilson
9/17/02,Final Jeopardy!,STATE FACTS,,In August 1959 a coin toss helped Hiram L. Fong become this state's senior senator,Hawaii
5/13/02,Final Jeopardy!,WORD HISTORIES,,"In old philosophy this 12-letter word referred to a fifth substance, superior to earth, air, fire or water",quintessence
12/15/00,Final Jeopardy!,SCIENCE NEWS,,"Made available for download in July 2000 by UCSC, the 739MB file of this ""Project"" consists of As, Ts, Gs & Cs",The Human Genome Project
11/30/94,Final Jeopardy!,BUSINESS & INDUSTRY,,"1 of the top 10 companies that operated food services in 1964, in 1994 its lunch counters ranked No. 264",Woolworth's
4/29/03,Final Jeopardy!,FILMS OF THE '60s,,"In the top films of 2 consecutive years in the 1960s, she played a nanny & a governess",Julie Andrews
11/25/11,Final Jeopardy!,MODERN AMERICAN NOVELS,,The title of this 1981 Pulitzer Prize winner comes from a Jonathan Swift line about how lesser minds unite to oppose genius,A Confederacy of Dunces (by John Kennedy Toole)
2/25/11,Final Jeopardy!,GEOGRAPHIC TERMS,,"This area that includes several countries got its name because the colonizers spoke Spanish, French & Portuguese",Latin America
10/26/07,Final Jeopardy!,LITERARY CHARACTERS,,This hero is the son of Ecgtheow & the grandson of Hrethel,Beowulf
6/16/08,Final Jeopardy!,AMERICAN AUTHORS,,"In 1958 he wrote, ""Brazil was beastly but Buenos Aires was the best. Not Tiffany's, but almost""",Truman Capote
6/10/98,Final Jeopardy!,THE COLD WAR,,"28 years apart, they are the year the Berlin Wall was created & the year it was torn down",1961 & 1989
7/6/95,Final Jeopardy!,FAMOUS PLAYS,,"Play that includes, ""I was so mean as to kill this bird today... soon I shall kill myself in the same way""",The Seagull
4/20/04,Final Jeopardy!,CANADIAN LITERATURE,,This 1908 work that was followed by several sequels is the bestselling book ever written by a Canadian,Anne of Green Gables
5/22/00,Final Jeopardy!,19th CENTURY CRIMES,,It resulted from the perpetrator's delusion that he was going to be ambassador to France,The Garfield Assassination
5/29/97,Final Jeopardy!,SHAKESPEARE'S WOMEN,,"This heroine is murdered on the island of Cyprus, as is her waiting-woman","Desdemona (from \""Othello\"")"
12/6/00,Final Jeopardy!,AMERICAN HISTORY,,In 1939 this state finally finished paying off a $12.4-million debt to the state from which it had separated,West Virginia (paid debt to Virginia)
2/9/11,Final Jeopardy!,POLITICAL PARTIES,,"Only 1 U.S. president represented this party, & he said, ""I dread... a division of the republic into 2 great parties""",the Federalist Party
2/2/07,Final Jeopardy!,FAMOUS AMERICANS,,"In part, using donated French tanks, he formed the U.S. Army's first tank training school in 1917",George Patton
11/1/11,Final Jeopardy!,CHILDREN'S LIT,,"This classic book begins, ""The pretty little Swiss town of Mayenfeld lies at the foot of a mountain range""",Heidi
2/8/11,Final Jeopardy!,ANCIENT QUOTES,,"He said, ""to leave this stream uncrossed will breed manifold distress for me; to cross it, for all mankind""",Julius Caesar
11/18/96,Final Jeopardy!,VICE PRESIDENTS,,He was the first Republican vice president,Hannibal Hamlin
5/7/09,Final Jeopardy!,B.C. THINKERS,,"The name we know him by was actually a nickname given him for his wide, disc-like shoulders",Plato
12/10/84,Final Jeopardy!,U.S. GEOGRAPHY,,The 2 states on both sides of the Mississippi,Louisiana and Minnesota
7/4/08,Final Jeopardy!,FOREIGN COUNTRIES,,"Of the world's 10 largest countries in total area, the 2 whose names start & end with ""A"" (Algeria is number 11)",Australia & Argentina
3/25/97,Final Jeopardy!,WORLD CAPITALS,,It's the world's northernmost national capital,"Reykjavik, Iceland"
4/24/98,Final Jeopardy!,ACTRESSES & ROLE,,Kathy Bates played her in 1997; Debbie Reynolds played her in 1964,"(\""The Unsinkable\"") Molly Brown"
5/13/03,Final Jeopardy!,WORLD CITIES,,"According to U.N. data, it's the world's most populous city named for a person","Ṣo Paulo, Brazil"
6/8/01,Final Jeopardy!,HEALTH & MEDICINE,,"The USA's leading chronic illness in children, it causes 10 million missed school days & 1 in 6 of all pediatric emergency visits",asthma
11/23/04,Final Jeopardy!,STATE FACTS,,This state & its capital were named for 2 dukedoms held by the same British man,New York
9/9/03,Final Jeopardy!,TV & STAMPS,,"When this program shows its address to write for audience tickets, its graphic has used one of the stamps seen here",The Price Is Right
5/26/89,Final Jeopardy!,FICTIONAL CHARACTERS,,"According to the Browning poem, he could also get rid of ""The mole and toad and newt and viper""",the Pied Piper of Hamelin
5/21/97,Final Jeopardy!,WORLD CAPITALS,,Many homes in this city are heated by near-boiling water pumped in from hot springs at Nesjavellir,"Reykjavik, Iceland"
1/17/03,Final Jeopardy!,BROADWAY MUSICALS,,"In 1999 this Broadway musical was advertised with the line: ""Before the Century Ends, See How It All Began""",Ragtime
7/9/01,Final Jeopardy!,BOOKS,,"The accompanying text to this book was published separately as ""Ornithological Biography"" in the 1830s",Birds of America
9/15/09,Final Jeopardy!,PRESIDENTIAL ANCESTORS,,"His first ancestor to come to America, a maternal forebear, was a Huguenot, Philippe de la Noye, in 1621",Franklin Delano Roosevelt
4/24/08,Final Jeopardy!,STATE CAPITALS,,"This Plains State capital of only 14,000 people is the only U.S. capital with no letters of its state in its name","Pierre, South Dakota"
4/19/06,Final Jeopardy!,WORLD LEADERS,,In 1984 his grandson succeeded his daughter to become his country's prime minister,Jawaharlal Nehru
2/21/05,Final Jeopardy!,FOREIGN WORDS & PHRASES,,It's the more commonly used term for the practice of Chinese geomancy,feng shui
6/21/00,Final Jeopardy!,SCIENCE WORD ORIGINS,,"Coined by the chemist J.B. van Helmont, the word gas comes from this Greek word meaning ""unformed mass""",chaos
5/5/00,Final Jeopardy!,CLASSIC SITCOMS,,This '70s character was given his last name because he talked ignorant nonsense,Archie Bunker
11/24/00,Final Jeopardy!,AFRICAN MYTHOLOGY,,"The great creator said these animals couldn't eat the fish of the river, so they fed on the land at night",Hippos
6/3/11,Final Jeopardy!,WORLD HISTORY,,"Traditionally said to be founded in 421, this city was later built up on islands in a lagoon by refugees from invading Lombards",Venice
5/7/01,Final Jeopardy!,SHAKESPEAREAN CHARACTERS,,"He's the last character to die in ""Julius Caesar""",Brutus
5/16/05,Final Jeopardy!,BIBLICAL CITIES,,"Of the 10 most populous U.S. cities, the one that shares its name with a city mentioned in Revelation",Philadelphia
10/10/02,Final Jeopardy!,ADVERTISING,,In 2002 H&R Block used a version of this 1966 song in its TV commercials,"\""Taxman\"""
5/22/02,Final Jeopardy!,RENAISSANCE AUTHORS,,"In the 16th century he wrote, ""Whoever wishes to found a state��_must start with assuming that all men are bad��_""",Machiavelli
11/1/06,Final Jeopardy!,PHRASES IN AMERICAN HISTORY,,"This phrase linking 2 entities was in Jefferson's 1802 letter to the Danbury Baptists, elaborating on the 1st Amendment",separation of church and state
12/28/10,Final Jeopardy!,CABINET OFFICERS,,He was the last Secretary of State to serve in the post under 2 presidents,Henry Kissinger
3/16/10,Final Jeopardy!,FAMOUS AMERICANS,,"About him F. Scott Fitzgerald wrote, ""In the spring of '27, something bright and alien flashed across the sky...""",Charles Lindbergh
12/22/06,Final Jeopardy!,AMERICAN WOMEN,,In 1997 the American Public Transportation Association gave this woman its first Lifetime Achievement Award,Rosa Parks
9/12/89,Final Jeopardy!,LITERATURE,,"The next-to-last chapter of this novel is entitled ""The Knitting Done""",A Tale of Two Cities
12/8/98,Final Jeopardy!,ORGANIZATIONS,,"Now with over a hundred chapters, the March of Dimes was first established by this president",Franklin Delano Roosevelt
9/19/05,Final Jeopardy!,RANKS & TITLES,,"In 1950 Pius XII was Pontifex Maximus; exactly 2,000 years earlier, this man held a title of the same name",Julius Caesar
4/15/99,Final Jeopardy!,MUSIC,,In 1997 Agnes Grossmann took over as the 1st woman artistic director of this group in its 500-year history,The Vienna Boys' Choir
12/22/99,Final Jeopardy!,FOOD & SPORTS,,"In August 1999, for the first time in its 75-year history, Wheaties began featuring players of this sport on its boxes",Soccer
11/22/01,Final Jeopardy!,FADS,,"Invented by Dan Robbins, this product was first sold in the 1950s with the slogan ""Every Man a Rembrandt""",Paint by Numbers
11/25/08,Final Jeopardy!,IN THE NEWS 1952,,"Her final testament, read in public after her death, asked for protection of the poor workers she called grasitas",Eva Peron
7/20/05,Final Jeopardy!,CLASSICAL MUSIC,,"It's the roughly 70-minute work that includes the sung words ""Alle menschen werden bruder""",Beethoven's 9th Symphony
7/17/09,Final Jeopardy!,U.S. PRESIDENTS,,He's the only president since 1900 whose last name contains more vowels than consonants,Barack Obama
12/19/08,Final Jeopardy!,THE WESTERN HEMISPHERE,,This country's largest lake shares its name with the country; its second-largest lake has the same name as its capital,Nicaragua
5/4/01,Final Jeopardy!,THE '90s,,In 1998 Andrew Thomas became the seventh & last American to live aboard this,Space Station Mir
6/25/07,Final Jeopardy!,RELIGION IN AMERICA,,This Protestant movement got its name from an early 20th century text that listed 5 basic elements,Fundamentalism
2/23/05,Final Jeopardy!,BESTSELLING AUTHORS,,"In 2000 this writer, with more than 100 million copies of novels in print, had a new species of dinosaur named for him",Michael Crichton
1/5/12,Final Jeopardy!,CALIFORNIA HISTORY,,"Surname of the employer of James W. Marshall, who found gold in a stream near the Sacramento river in 1848",Sutter
1/2/12,Final Jeopardy!,'70s OSCARS,,"This film whose title refers to an establishment holds the record for most wins, 8, without winning Best Picture",Cabaret
11/24/08,Final Jeopardy!,SHAKESPEARE'S WOMEN,,"The last words spoken by this character are ""What's done cannot be undone: to bed, to bed, to bed""",Lady Macbeth
1/12/00,Final Jeopardy!,NEOLOGISMS,,"In his 1984 novel ""Neuromancer"", William Gibson coined this 10-letter term for a virtual reality computer network",Cyberspace
11/14/86,Final Jeopardy!,U.S. GOVERNMENT,,Last year in which we went an entire calendar year without a vice president in office,1964
10/14/02,Final Jeopardy!,COMPOSERS,,"His Rococo-style summer house in Prague is nicknamed ""America""",Antonin Dvorak
12/11/02,Final Jeopardy!,NATIONAL FLAGS,,"Over its 200-plus years, this country has had 28 different flags, a record for any country",United States of America
6/21/99,Final Jeopardy!,AFRICA,,1 of the 3 African countries that are still kingdoms,"Lesotho, Morocco or Swaziland"
6/2/10,Final Jeopardy!,HISTORICAL PHRASES,,"Before it meant a space between opposing armies, it referred to an execution site outside the walls of London",no man's land
2/1/06,Final Jeopardy!,WAR & PEACE,,In 1839 the first of several wars broke out over the trade of an extract from a flower of this family,poppy
6/26/01,Final Jeopardy!,PEOPLE IN SONG,,"A statue of her, seated on a bench in Liverpool, is dedicated ""To All the Lonely People""",Eleanor Rigby
3/19/04,Final Jeopardy!,PRESIDENTIAL NOMINEES,,"He wrote a ""Report of the Exploring Expedition to the Rocky Mountains in the Year 1842""",John C. Fremont
6/23/00,Final Jeopardy!,CHILDREN'S LITERATURE,,"""Max et les Maximonstres"" is the French title of this children's classic","\""Where the Wild Things Are\"""
5/21/90,Final Jeopardy!,SCIENTISTS,,"When Einstein won the 1921 Nobel Prize in physics, he was a naturalized citizen of this country",Switzerland (He came to the U.S. later on)
1/18/10,Final Jeopardy!,EARLY MAN,,"A theory of the origin & spread of humankind is called this, also the title of an Oscar-winning movie of the 1980s",Out of Africa
9/14/99,Final Jeopardy!,U.S. CITIES,,"Its former mayor William Hartsfield dubbed it the city ""Too Busy to Hate""",Atlanta (airport named for him)
3/31/06,Final Jeopardy!,FAMOUS PHOTOGRAPHS,,"Alberto Korda, Castro's official photographer, is best known for an image of this man seen on countless shirts & posters",Che Guevara
10/7/10,Final Jeopardy!,MAMMALS,,"One type of this aquatic animal gives milk that's 65% fat; pups are weaned in 4 days, the least of any mammal",the seal
1/31/05,Final Jeopardy!,ASTRONAUTS,,"Born Edwin in 1930, this Apollo astronaut legally changed his name in 1982 to his popular nickname",Buzz Aldrin
2/18/05,Final Jeopardy!,WORDPLAY,,This word for a type of war is one of the few 5-letter words that can be made using only Roman numerals,civil
4/4/00,Final Jeopardy!,FAMOUS MIDDLE NAMES,,"This middle name of a famous composer means ""beloved by God""",(Wolfgang) Amadeus (Mozart)
11/11/02,Final Jeopardy!,THEORIES OF SCIENCE,,Physicist John Wheeler compared possible passages through space & time to the work of this creature,a worm
3/20/06,Final Jeopardy!,THE TECHNOLOGY SECTOR,,"If you'd invested $84 for 4 shares of this company at its March 13, 1986 IPO, you'd have 1,152 shares & $30,124.80 as of Jan. 1, 2006",Microsoft
2/5/04,Final Jeopardy!,RIPPED FROM THE HEADLINES,,A November 2003 report said better tree trimming may have prevented this event that affected 50 million people in August,the power blackout
12/24/97,Final Jeopardy!,IN THE NEWS 1882,,Queen Victoria was not amused when this animal ridden by kids at the London Zoo was sold to a U.S. showman,Jumbo the elephant
3/31/09,Final Jeopardy!,STORY INSPIRATIONS,,"The 1949 shooting of Philly 1B Eddie Waitkus by Ruth Steinhagen inspired this novel, later a 1984 film",The Natural
5/31/00,Final Jeopardy!,CLOTHING,,Article of clothing named for an old character who dressed in loose trousers in Commedia Dell'arte,Pantaloons (named for Pantalone)
5/18/11,Final Jeopardy!,CONSTITUTIONAL AMENDMENTS,,The longest period in American history with no changes to the Constitution was from 1804 to this year,1865
10/15/03,Final Jeopardy!,OPERA SETTINGS,,"Verdi's Nabucco, who's also known by a longer form of his name, is the king of this ancient place",Babylon
11/20/96,Final Jeopardy!,THE MIDWEST,,"Of the 4 states that border Lake Michigan, the one whose name is not derived from a Native American word",Indiana
10/16/86,Final Jeopardy!,ACTORS AND ROLES,,2 stars who have portrayed author/reporter Carl Bernstein or a character directly based on him in film,Jack Nicholson & Dustin Hoffman
3/20/09,Final Jeopardy!,CIVIL WAR SITES,,"Of the 6 Civil War-related national military parks, the northernmost & southernmost are in these 2 states",Pennsylvania & Mississippi
10/29/08,Final Jeopardy!,2008,,"Though not elected to the position, a man from this state became the 1st blind governor & the 4th black governor in the U.S.",New York
